"","candidate","district","borough","votes","party","olpr.winner"
"Write-In2044","MICHAEL TINAGLIA","9","New York County",1,"Write-In2044",0
"Write-In2045","MIKE PATTON","9","New York County",1,"Write-In2045",0
"Write-In2046","MUAD MARON","9","New York County",1,"Write-In2046",0
"Write-In2047","NAILAH RICCO-BROWN","9","New York County",1,"Write-In2047",0
"Write-In2048","NANCY O'DELL","9","New York County",1,"Write-In2048",0
"Write-In2049","NATALIE E. WILLIAMS","9","New York County",1,"Write-In2049",0
"Write-In2050","NATHANIEL MAMO","9","New York County",1,"Write-In2050",0
"Write-In2051","NEAL CLARK","9","New York County",1,"Write-In2051",0
"Write-In2052","NIECK TATUM HALL","9","New York County",1,"Write-In2052",0
"Write-In2053","OMAR SPANN","9","New York County",1,"Write-In2053",0
"Write-In2054","PATRICK BRPHY","9","New York County",1,"Write-In2054",0
"Write-In2055","PATRICK JOHN MCHALE","9","New York County",1,"Write-In2055",0
"Write-In2056","PAUL THOMAS","9","New York County",1,"Write-In2056",0
"Write-In2057","PEDRO MERCADO","9","New York County",1,"Write-In2057",0
"Write-In2058","PERCY SUTTON","9","New York County",1,"Write-In2058",0
"Write-In2059","PETER KEFALAS","9","New York County",1,"Write-In2059",0
"Write-In2060","PETER SINGHAL","9","New York County",1,"Write-In2060",0
"Write-In2061","PETO ALONSO","9","New York County",1,"Write-In2061",0
"Write-In2062","PHILIARE PHANG","9","New York County",1,"Write-In2062",0
"Write-In2063","PHILIP UPSHAW","9","New York County",1,"Write-In2063",0
"Write-In2064","RACHEL PATTERSON","9","New York County",1,"Write-In2064",0
"Write-In2065","RICHARD MEMMAKER","9","New York County",1,"Write-In2065",0
"Write-In2066","ROBERT CARPENTER","9","New York County",1,"Write-In2066",0
"Write-In2067","ROBERT HOLYFIELD","9","New York County",1,"Write-In2067",0
"Write-In2068","ROBERT MARONE","9","New York County",1,"Write-In2068",0
"Write-In2069","ROCHELLE THOMPSON","9","New York County",1,"Write-In2069",0
"Write-In2070","ROSA G. DIAZ","9","New York County",1,"Write-In2070",0
"Write-In2071","ROY SCHOR","9","New York County",1,"Write-In2071",0
"Write-In2072","RUTH MESSINGER","9","New York County",1,"Write-In2072",0
"Write-In2073","SABRINA BACOTE","9","New York County",1,"Write-In2073",0
"Write-In2074","SADAY ELLIS","9","New York County",1,"Write-In2074",0
"Write-In2075","SARA SANDRA RICHBURG","9","New York County",1,"Write-In2075",0
"Write-In2076","SASUKE UCHIHA","9","New York County",1,"Write-In2076",0
"Write-In2077","SERGEY MITZENGENDLER","9","New York County",1,"Write-In2077",0
"Write-In2078","SESON ADAMS","9","New York County",2,"Write-In2078",0
"Write-In2079","SHAKIRA HENDERSON","9","New York County",1,"Write-In2079",0
"Write-In2080","SHANA HARMONGOFF","9","New York County",2,"Write-In2080",0
"Write-In2081","SHANIKA SHANTEL JOHNSON","9","New York County",1,"Write-In2081",0
"Write-In2082","SHAWN ANTOINE II","9","New York County",1,"Write-In2082",0
"Write-In2083","SHMUEL ROSENBERG","9","New York County",1,"Write-In2083",0
"Write-In2084","SKIP MITCHELL","9","New York County",1,"Write-In2084",0
"Write-In2085","STACEY SPENCER","9","New York County",1,"Write-In2085",0
"Write-In2086","STEVEN MALLIET","9","New York County",1,"Write-In2086",0
"Write-In2087","SUSAN WATSON","9","New York County",1,"Write-In2087",0
"Write-In2088","SUSANNAH TRUBMAN","9","New York County",1,"Write-In2088",0
"Write-In2089","TAGYANA RAYMOND","9","New York County",1,"Write-In2089",0
"Write-In2090","TAKEYA PATTERSON","9","New York County",1,"Write-In2090",0
"Write-In2091","TERRI WISDOM","9","New York County",1,"Write-In2091",0
"Write-In2092","TERTIUS GEORGE","9","New York County",1,"Write-In2092",0
"Write-In2093","THEODORE NORMAN III","9","New York County",1,"Write-In2093",0
"Write-In2094","TIALANE WYNN","9","New York County",1,"Write-In2094",0
"Write-In2095","TIMOTHY HAYES","9","New York County",1,"Write-In2095",0
"Write-In2096","TIONNE PALMER-STEWART","9","New York County",1,"Write-In2096",0
"Write-In2097","TONIA BOYD","9","New York County",1,"Write-In2097",0
"Write-In2098","TONYA DEVRN","9","New York County",1,"Write-In2098",0
"Write-In2099","TROY K. HUGHEY","9","New York County",1,"Write-In2099",0
"Write-In21","GALE A. BREWER","8","New York County",1,"Write-In21",0
"Write-In2100","TSGUARRA RAYMORE","9","New York County",1,"Write-In2100",0
"Write-In2101","TUCKER CARLSON","9","New York County",1,"Write-In2101",0
"Write-In2102","UMUT EKINCIOGLU","9","New York County",2,"Write-In2102",0
"Write-In2103","UNATTRIBUTABLE WRITE-IN","9","New York County",168,"Write-In2103",0
"Write-In2104","UNCOUNTED WRITE-IN PER STATUTE","9","New York County",3,"Write-In2104",0
"Write-In2105","VENDORA JORDAN","9","New York County",1,"Write-In2105",0
"Write-In2106","WILLIAM ALLEN","9","New York County",2,"Write-In2106",0
"Write-In2107","WILLIAM COUNCIL","9","New York County",1,"Write-In2107",0
"Write-In2108","WILLIAM J. KACZMAREK","9","New York County",1,"Write-In2108",0
"Write-In2109","YUSEF SALAAM","9","New York County",1,"Write-In2109",0
"Write-In2110","YVETTE VEGA","9","New York County",1,"Write-In2110",0
"Write-In2111","ZACHARY TAYLOR","9","New York County",1,"Write-In2111",0
"Write-In2112","ZAYNAB BADROUS","9","New York County",1,"Write-In2112",0
"Write-In2113","ZIV SIDI","9","New York County",2,"Write-In2113",0
"Write-In2114","ZOHRAN KWAME MAMDANI","9","New York County",3,"Write-In2114",0
"Write-In2115","ZOIE YOUNG","9","New York County",1,"Write-In2115",0
"Write-In2116","ABBY POWELL","10","New York County",1,"Write-In2116",0
"Write-In2117","ALAN LEVINE","10","New York County",1,"Write-In2117",0
"Write-In2118","ALEXANDER FRYE YANOS","10","New York County",1,"Write-In2118",0
"Write-In2119","ANDREA KOMBLUTH","10","New York County",1,"Write-In2119",0
"Write-In2120","ANDREW M. CUOMO","10","New York County",2,"Write-In2120",0
"Write-In2121","ANGELA FERNANDEZ","10","New York County",1,"Write-In2121",0
"Write-In2122","ANTHONY CRUZ","10","New York County",1,"Write-In2122",0
"Write-In2123","ARIEL VARGAS","10","New York County",1,"Write-In2123",0
"Write-In2124","ARIELE FAWTESTON MORRIS","10","New York County",1,"Write-In2124",0
"Write-In2125","BRIAN J. VENENS","10","New York County",1,"Write-In2125",0
"Write-In2126","CAROLINE GOLDRICK","10","New York County",1,"Write-In2126",0
"Write-In2127","CHARLES UDOH","10","New York County",1,"Write-In2127",0
"Write-In2128","CHARLIE FERSKO","10","New York County",1,"Write-In2128",0
"Write-In2129","CHRISTOPHER MARTE","10","New York County",1,"Write-In2129",0
"Write-In2130","CURTIS A. SLIWA","10","New York County",3,"Write-In2130",0
"Write-In2131","DALE RUTKIN","10","New York County",1,"Write-In2131",0
"Write-In2132","DANIELLA JAMPEL","10","New York County",1,"Write-In2132",0
"Write-In2133","DAVID LATES","10","New York County",1,"Write-In2133",0
"Write-In2134","DAVID ZINSTEIN","10","New York County",1,"Write-In2134",0
"Write-In2135","DORCA N. REPSOS","10","New York County",1,"Write-In2135",0
"Write-In2136","DORCA REYNOSO","10","New York County",1,"Write-In2136",0
"Write-In2137","DYLAN J. STEIN","10","New York County",1,"Write-In2137",0
"Write-In2138","ELEANOR LEVIN","10","New York County",1,"Write-In2138",0
"Write-In2139","ERIC L. ADAMS","10","New York County",1,"Write-In2139",0
"Write-In2140","GEORGE ESPINAL","10","New York County",2,"Write-In2140",0
"Write-In2141","GERTRUDE ZANONI","10","New York County",1,"Write-In2141",0
"Write-In2142","HILARY CLINTON","10","New York County",1,"Write-In2142",0
"Write-In2143","HOOMAN JALILI","10","New York County",1,"Write-In2143",0
"Write-In2144","JACQUE CLOSSUC","10","New York County",1,"Write-In2144",0
"Write-In2145","JALEN BRUNSON","10","New York County",1,"Write-In2145",0
"Write-In2146","JAMES KATZ","10","New York County",1,"Write-In2146",0
"Write-In2147","JANICE BIGGS","10","New York County",1,"Write-In2147",0
"Write-In2148","JASINTA DE LA CRUZ","10","New York County",1,"Write-In2148",0
"Write-In2149","JASON MCDOWELL","10","New York County",2,"Write-In2149",0
"Write-In2150","JENNIFER ALMANZAR","10","New York County",1,"Write-In2150",0
"Write-In2151","JESSICA KIM","10","New York County",3,"Write-In2151",0
"Write-In2152","JOANNA RODRIGUES","10","New York County",1,"Write-In2152",0
"Write-In2153","JOHANNA GARCIA","10","New York County",12,"Write-In2153",0
"Write-In2154","JOHNNY MCDONALD","10","New York County",1,"Write-In2154",0
"Write-In2155","JORDAN LAMARCHE","10","New York County",1,"Write-In2155",0
"Write-In2156","KATHRYN GARCIA","10","New York County",2,"Write-In2156",0
"Write-In2157","KATHRYN HARRIS","10","New York County",1,"Write-In2157",0
"Write-In2158","KYLA JO WILLIAMS","10","New York County",1,"Write-In2158",0
"Write-In2159","MARIANNE PIZZITOLA","10","New York County",1,"Write-In2159",0
"Write-In2160","MARTIN COLLINS","10","New York County",1,"Write-In2160",0
"Write-In2161","MAX BLUMENTHAL","10","New York County",1,"Write-In2161",0
"Write-In2162","MINDA ARRON","10","New York County",1,"Write-In2162",0
"Write-In2163","MO REIS","10","New York County",1,"Write-In2163",0
"Write-In2164","NATHAN MANDELL","10","New York County",1,"Write-In2164",0
"Write-In2165","NAYMA MATOS","10","New York County",1,"Write-In2165",0
"Write-In2166","NELSON ROJAS","10","New York County",2,"Write-In2166",0
"Write-In2167","NICK LYNDON","10","New York County",1,"Write-In2167",0
"Write-In2168","NOA ATEDGI","10","New York County",1,"Write-In2168",0
"Write-In2169","RACHEL GOLDBERG POLIN","10","New York County",1,"Write-In2169",0
"Write-In2170","RICHARD LO","10","New York County",1,"Write-In2170",0
"Write-In2171","ROBERT JACKSON","10","New York County",2,"Write-In2171",0
"Write-In2172","SHEILA MALDONADO","10","New York County",1,"Write-In2172",0
"Write-In2173","SIMCHA FELDER","10","New York County",3,"Write-In2173",0
"Write-In2174","TANYA BRUNET","10","New York County",1,"Write-In2174",0
"Write-In2175","TERRELL NELSEN","10","New York County",1,"Write-In2175",0
"Write-In2176","UNATTRIBUTABLE WRITE-IN","10","New York County",31,"Write-In2176",0
"Write-In2177","UNCOUNTED WRITE-IN PER STATUTE","10","New York County",4,"Write-In2177",0
"Write-In2178","WAYNE HOULE","10","New York County",1,"Write-In2178",0
"Write-In2179","ZOHRAN KWAME MAMDANI","10","New York County",1,"Write-In2179",0
"Write-In22","GWEN GOODWIN","8","New York County",1,"Write-In22",0
"Write-In23","JACK GOODWIN","8","New York County",1,"Write-In23",0
"Write-In24","JULIE MARVIN","8","New York County",2,"Write-In24",0
"Write-In25","JULIE MENIN","8","New York County",1,"Write-In25",0
"Write-In26","KEVIN WEEMS","8","New York County",1,"Write-In26",0
"Write-In27","KYLE ATHAYDE","8","New York County",1,"Write-In27",0
"Write-In28","LENNARD MCNEIL","8","New York County",1,"Write-In28",0
"Write-In29","LONDON REGINALD JONES","8","New York County",1,"Write-In29",0
"Write-In30","MANUEL ALEJANDRO","8","New York County",1,"Write-In30",0
"Write-In31","MICHAEL BLOOMBERG","8","New York County",1,"Write-In31",0
"Write-In32","NICHOLAS REYES","8","New York County",2,"Write-In32",0
"Write-In33","PRINCE EDUSEI","8","New York County",1,"Write-In33",0
"Write-In34","RORY SMITH","8","New York County",1,"Write-In34",0
"Write-In35","ROSEMARI MEALY","8","New York County",1,"Write-In35",0
"Write-In36","ROXANNE KIMBROUGH","8","New York County",1,"Write-In36",0
"Write-In37","SHANANA HANIF","8","New York County",2,"Write-In37",0
"Write-In38","SUSAN ZHUANG","8","New York County",1,"Write-In38",0
"Write-In39","UNATTRIBUTABLE WRITE-IN","8","New York County",11,"Write-In39",0
"Write-In40","UNCOUNTED WRITE-IN PER STATUTE","8","New York County",1,"Write-In40",0
"Write-In41","VITO MANWTONIDO","8","New York County",1,"Write-In41",0
"Write-In42","WANDA TUCKER","8","New York County",1,"Write-In42",0
"Write-In43","WILFREDO LOPEZ","8","New York County",1,"Write-In43",0
"Write-In44","WILL LOPEZ","8","New York County",1,"Write-In44",0
"Write-In45","XAVIER SANTIAGO","8","New York County",1,"Write-In45",0
"Write-In681","ALLIE RYAN","1","New York County",2,"Write-In681",0
"Write-In682","ANTONY WONG","1","New York County",1,"Write-In682",0
"Write-In683","ARMON MOZAFFARI","1","New York County",1,"Write-In683",0
"Write-In684","BLEECKER GLENDENING","1","New York County",1,"Write-In684",0
"Write-In685","BOB SMITH","1","New York County",1,"Write-In685",0
"Write-In686","BRETT FAZLO","1","New York County",1,"Write-In686",0
"Write-In687","CAROLINA RIVERA","1","New York County",1,"Write-In687",0
"Write-In688","CHAMP MARCELLO","1","New York County",1,"Write-In688",0
"Write-In689","CHARLES MACKELVY","1","New York County",1,"Write-In689",0
"Write-In690","CLAYTEN LEWIS","1","New York County",1,"Write-In690",0
"Write-In691","CROSBY STEEPHEN","1","New York County",1,"Write-In691",0
"Write-In692","CURTIS A. SLIWA","1","New York County",1,"Write-In692",0
"Write-In693","CYNTHIA NIEVES","1","New York County",1,"Write-In693",0
"Write-In694","DANIEL HIRT","1","New York County",1,"Write-In694",0
"Write-In695","DAVID BOWIE","1","New York County",1,"Write-In695",0
"Write-In696","DAVID SCHMIDT","1","New York County",1,"Write-In696",0
"Write-In697","DENNY SOLAS","1","New York County",1,"Write-In697",0
"Write-In698","DEREK ANDREW CHIN","1","New York County",1,"Write-In698",0
"Write-In699","DOREY LEE","1","New York County",1,"Write-In699",0
"Write-In700","DREW MARCELLO","1","New York County",1,"Write-In700",0
"Write-In701","EDWARD FACCIO","1","New York County",1,"Write-In701",0
"Write-In702","EFRAIN GONZALEZ","1","New York County",1,"Write-In702",0
"Write-In703","ELAINE BALL","1","New York County",1,"Write-In703",0
"Write-In704","ELIZABETH LEWINSOHN","1","New York County",7,"Write-In704",0
"Write-In705","EMRYS KAYA","1","New York County",1,"Write-In705",0
"Write-In706","ERIC L. ADAMS","1","New York County",1,"Write-In706",0
"Write-In707","ERIC YU","1","New York County",2,"Write-In707",0
"Write-In708","GLORIA BROWN-MARSHALL","1","New York County",1,"Write-In708",0
"Write-In709","GOMEZ ALLAPROSS","1","New York County",1,"Write-In709",0
"Write-In710","GREGORY DEROSSO","1","New York County",1,"Write-In710",0
"Write-In711","HENRY GEORGE","1","New York County",1,"Write-In711",0
"Write-In712","HILLARY CLINTON","1","New York County",1,"Write-In712",0
"Write-In713","HOI PING NGO","1","New York County",1,"Write-In713",0
"Write-In714","ILLAPA SAIRITUPAC","1","New York County",1,"Write-In714",0
"Write-In715","IME NELSON","1","New York County",1,"Write-In715",0
"Write-In716","JALEN BRUNSON","1","New York County",1,"Write-In716",0
"Write-In717","JAMES JOHNSON","1","New York County",1,"Write-In717",0
"Write-In718","JASMINE NALENTNE","1","New York County",1,"Write-In718",0
"Write-In719","JENNY LAM LO","1","New York County",1,"Write-In719",0
"Write-In720","JENNY LOW","1","New York County",3,"Write-In720",0
"Write-In721","JESS COLEMAN","1","New York County",33,"Write-In721",0
"Write-In722","JESS KALIMAN","1","New York County",1,"Write-In722",0
"Write-In723","JOEL COLUCCI","1","New York County",2,"Write-In723",0
"Write-In724","JOHN CHRISTIAN WHITE","1","New York County",1,"Write-In724",0
"Write-In725","JOHN G. DUGGAN","1","New York County",1,"Write-In725",0
"Write-In726","JULIA ROSS","1","New York County",1,"Write-In726",0
"Write-In727","KAMCHI LI","1","New York County",1,"Write-In727",0
"Write-In728","KARLIN CHAN","1","New York County",3,"Write-In728",0
"Write-In729","KEITH TEM","1","New York County",1,"Write-In729",0
"Write-In730","KENT TEKULVE","1","New York County",1,"Write-In730",0
"Write-In731","KWAME BROWN","1","New York County",1,"Write-In731",0
"Write-In732","LEE BERMAN","1","New York County",1,"Write-In732",0
"Write-In733","LISA ARBISSER","1","New York County",1,"Write-In733",0
"Write-In734","LYNDON BAINES JOHNSON","1","New York County",1,"Write-In734",0
"Write-In735","MAHIR S. KAHMAN","1","New York County",1,"Write-In735",0
"Write-In736","MARGARET CHIN","1","New York County",1,"Write-In736",0
"Write-In737","MARGARET CLARK","1","New York County",1,"Write-In737",0
"Write-In738","MARIANNE PIZZITOLA","1","New York County",1,"Write-In738",0
"Write-In739","MARY DAUGHERTY","1","New York County",1,"Write-In739",0
"Write-In740","MATTHEW ISRAEL","1","New York County",1,"Write-In740",0
"Write-In741","MEYER POLANCO","1","New York County",1,"Write-In741",0
"Write-In742","MICHAEL GURAL MAIELLO","1","New York County",1,"Write-In742",0
"Write-In743","MICHAEL PESILIN","1","New York County",1,"Write-In743",0
"Write-In744","MILES ROBINSON","1","New York County",1,"Write-In744",0
"Write-In745","NICOLE SAMII","1","New York County",1,"Write-In745",0
"Write-In746","NICOLE SAMIL","1","New York County",2,"Write-In746",0
"Write-In747","OLIVIER ANDERSEN","1","New York County",1,"Write-In747",0
"Write-In748","PATRICK BORJA","1","New York County",1,"Write-In748",0
"Write-In749","PATRICK SMITH","1","New York County",1,"Write-In749",0
"Write-In750","PRESTON LUST","1","New York County",1,"Write-In750",0
"Write-In751","REBECCA SHAPIRO","1","New York County",1,"Write-In751",0
"Write-In752","RICHARD D. BAILEY","1","New York County",1,"Write-In752",0
"Write-In753","RITA C. JOSEPH","1","New York County",1,"Write-In753",0
"Write-In754","RUDD TAYLOR","1","New York County",1,"Write-In754",0
"Write-In755","RYAN CORNELL","1","New York County",1,"Write-In755",0
"Write-In756","SCOTT STRINGER","1","New York County",1,"Write-In756",0
"Write-In757","SEBASTIAN BECKER","1","New York County",1,"Write-In757",0
"Write-In758","SIMON THANG","1","New York County",1,"Write-In758",0
"Write-In759","SUSAN BURKE","1","New York County",1,"Write-In759",0
"Write-In760","SUSAN LEE","1","New York County",3,"Write-In760",0
"Write-In761","TREVER HOLLAND","1","New York County",2,"Write-In761",0
"Write-In762","UNATTRIBUTABLE WRITE-IN","1","New York County",41,"Write-In762",0
"Write-In763","VAYLATEENA JONES","1","New York County",2,"Write-In763",0
"Write-In764","VIRGINIA MALONEY","1","New York County",1,"Write-In764",0
"Write-In765","VITO PITTA","1","New York County",1,"Write-In765",0
"Write-In766","WARREN ROSENFELD","1","New York County",1,"Write-In766",0
"Write-In767","YUH-LINE NIOU","1","New York County",1,"Write-In767",0
"Write-In768","ZOHRAN KWAME MAMDANI","1","New York County",1,"Write-In768",0
"Write-In769","ZUVINIA VITALE","1","New York County",1,"Write-In769",0
"Write-In770","ALEXANDER PAYTON","2","New York County",1,"Write-In770",0
"Write-In771","ALEXANDRIA OCASIO-CORTEZ","2","New York County",1,"Write-In771",0
"Write-In772","ALEXIS WILKINSON","2","New York County",1,"Write-In772",0
"Write-In773","ALICE ROSS","2","New York County",1,"Write-In773",0
"Write-In774","ANDREA GORDILLO","2","New York County",1,"Write-In774",0
"Write-In775","ANTHONY WIENER","2","New York County",2,"Write-In775",0
"Write-In776","AUSTIN GROGON","2","New York County",1,"Write-In776",0
"Write-In777","BEA GOLDWYN","2","New York County",1,"Write-In777",0
"Write-In778","BIANCA ISAIAS","2","New York County",1,"Write-In778",0
"Write-In779","BOOL FRIEDGUY","2","New York County",1,"Write-In779",0
"Write-In780","CAROLYN CONABOY","2","New York County",1,"Write-In780",0
"Write-In781","CHRISTINE BAUER","2","New York County",1,"Write-In781",0
"Write-In782","CHRISTOPHER MARTE","2","New York County",4,"Write-In782",0
"Write-In783","DAVID JONES","2","New York County",1,"Write-In783",0
"Write-In784","DAVID SPADE","2","New York County",1,"Write-In784",0
"Write-In785","DEAN RRICHARDS","2","New York County",1,"Write-In785",0
"Write-In786","DICLAR KHAN","2","New York County",1,"Write-In786",0
"Write-In787","DYLAN KREBS","2","New York County",1,"Write-In787",0
"Write-In788","ERIN HUSSEIN","2","New York County",1,"Write-In788",0
"Write-In789","FRANCIS JOSEPH D'ANZI","2","New York County",1,"Write-In789",0
"Write-In790","GALE A. BREWER","2","New York County",1,"Write-In790",0
"Write-In791","GRACE DAVIS","2","New York County",1,"Write-In791",0
"Write-In792","HELEN QIU","2","New York County",1,"Write-In792",0
"Write-In793","HONEY WEBER","2","New York County",1,"Write-In793",0
"Write-In794","HOWARD GRIMBERG","2","New York County",1,"Write-In794",0
"Write-In795","JAMEIS WINSTON","2","New York County",1,"Write-In795",0
"Write-In796","JANISH SHOLT","2","New York County",1,"Write-In796",0
"Write-In797","JON WEISMAN","2","New York County",1,"Write-In797",0
"Write-In798","JOSEPH FAYA","2","New York County",1,"Write-In798",0
"Write-In799","JOSHUA KOH","2","New York County",1,"Write-In799",0
"Write-In800","JUDY CARNE","2","New York County",1,"Write-In800",0
"Write-In801","KARL MARX","2","New York County",1,"Write-In801",0
"Write-In802","KELLY STEDE","2","New York County",1,"Write-In802",0
"Write-In803","KEVIN MOYNIHAN","2","New York County",1,"Write-In803",0
"Write-In804","LAURENCE BUSCHING","2","New York County",1,"Write-In804",0
"Write-In805","LINCOLN RESTLER","2","New York County",1,"Write-In805",0
"Write-In806","LOUIS TUCH","2","New York County",1,"Write-In806",0
"Write-In807","MAGNUS MERIN","2","New York County",1,"Write-In807",0
"Write-In808","MANY GUIDERA","2","New York County",1,"Write-In808",0
"Write-In809","MARK MILLEY","2","New York County",1,"Write-In809",0
"Write-In810","MARK SMITH","2","New York County",1,"Write-In810",0
"Write-In811","MICHAEL BLOOMBERG","2","New York County",1,"Write-In811",0
"Write-In812","MICHAEL HENRY MARTUSCELLO","2","New York County",1,"Write-In812",0
"Write-In813","MICHAEL MASLIN","2","New York County",1,"Write-In813",0
"Write-In814","MOWGLI KHAN-CANAS","2","New York County",1,"Write-In814",0
"Write-In815","NOGA ROSENTHAL","2","New York County",1,"Write-In815",0
"Write-In816","RICHARD E. STONE","2","New York County",1,"Write-In816",0
"Write-In817","ROBERT BOONE","2","New York County",1,"Write-In817",0
"Write-In818","RONNIE CHO","2","New York County",1,"Write-In818",0
"Write-In819","ROY ROGERS MCFREELY","2","New York County",1,"Write-In819",0
"Write-In820","SARAH BATCHU","2","New York County",6,"Write-In820",0
"Write-In821","SARAH FEINBERG","2","New York County",1,"Write-In821",0
"Write-In822","SARAH LIANG KRESS","2","New York County",1,"Write-In822",0
"Write-In823","SEAN BROWN","2","New York County",1,"Write-In823",0
"Write-In824","SHANIE PHILLIPS","2","New York County",1,"Write-In824",0
"Write-In825","SHNACKS HAWYARD","2","New York County",1,"Write-In825",0
"Write-In826","TERRY DONER","2","New York County",1,"Write-In826",0
"Write-In827","TROY VELEZ","2","New York County",1,"Write-In827",0
"Write-In828","UNATTRIBUTABLE WRITE-IN","2","New York County",29,"Write-In828",0
"Write-In829","UNCOUNTED WRITE-IN PER STATUTE","2","New York County",2,"Write-In829",0
"Write-In830","VERMIN SUPREME","2","New York County",1,"Write-In830",0
"Write-In831","VIRGINIA MALONEY","2","New York County",2,"Write-In831",0
"Write-In832","WILLIAM OBADITH","2","New York County",1,"Write-In832",0
"Write-In833","ZACH BOONER","2","New York County",1,"Write-In833",0
"Write-In834","AAHONA PUNJABI","3","New York County",1,"Write-In834",0
"Write-In835","ADAM NOGG","3","New York County",1,"Write-In835",0
"Write-In836","ADAM SELLERS","3","New York County",1,"Write-In836",0
"Write-In837","AIMEE ADLER","3","New York County",1,"Write-In837",0
"Write-In838","ALAN FISHBEIN","3","New York County",1,"Write-In838",0
"Write-In839","ALAN ROMANOVSKI","3","New York County",1,"Write-In839",0
"Write-In840","ALEC GLASSMAN","3","New York County",1,"Write-In840",0
"Write-In841","ALEX EM","3","New York County",1,"Write-In841",0
"Write-In842","ALEXANDER SMYLES","3","New York County",1,"Write-In842",0
"Write-In843","ALEXANDER SOMOGYI","3","New York County",1,"Write-In843",0
"Write-In844","ALEXANDRIA OCASIO-CORTEZ","3","New York County",2,"Write-In844",0
"Write-In845","ALINA BONSELL","3","New York County",1,"Write-In845",0
"Write-In846","ALLIE RYAN","3","New York County",3,"Write-In846",0
"Write-In847","ALLISON BEARAM","3","New York County",1,"Write-In847",0
"Write-In848","ANDREA GONDILLO","3","New York County",1,"Write-In848",0
"Write-In849","ANDREA VAZZANA","3","New York County",1,"Write-In849",0
"Write-In850","ANDREW BERMAN","3","New York County",1,"Write-In850",0
"Write-In851","ANDREW CODISPOT","3","New York County",1,"Write-In851",0
"Write-In852","ANDREW JACKSON","3","New York County",1,"Write-In852",0
"Write-In853","ANDREW M. CUOMO","3","New York County",3,"Write-In853",0
"Write-In854","ANDREW SLUTZKIN","3","New York County",1,"Write-In854",0
"Write-In855","ANDREW STEINMAN","3","New York County",1,"Write-In855",0
"Write-In856","ANTHONY ALFANO","3","New York County",1,"Write-In856",0
"Write-In857","ANTHONY OTTENWARDE","3","New York County",1,"Write-In857",0
"Write-In858","ARNOLD FARBER","3","New York County",1,"Write-In858",0
"Write-In859","ARTHUR SCHWARTZ","3","New York County",1,"Write-In859",0
"Write-In860","ASHTON RANDLE","3","New York County",1,"Write-In860",0
"Write-In861","BENJAMIN IVERSON","3","New York County",1,"Write-In861",0
"Write-In862","BERNIE SANDERS","3","New York County",1,"Write-In862",0
"Write-In863","BLAKESLEE BARNES","3","New York County",1,"Write-In863",0
"Write-In864","BOB HOPE","3","New York County",1,"Write-In864",0
"Write-In865","BOO GOBBS","3","New York County",1,"Write-In865",0
"Write-In866","BRENDAN CAMPBELL","3","New York County",1,"Write-In866",0
"Write-In867","BRENDAN STONE","3","New York County",1,"Write-In867",0
"Write-In868","BRIAN VALIK","3","New York County",1,"Write-In868",0
"Write-In869","BRIAN W. FERNANDEZ","3","New York County",1,"Write-In869",0
"Write-In870","BRUCE BENT II","3","New York County",1,"Write-In870",0
"Write-In871","CARA PALEY","3","New York County",1,"Write-In871",0
"Write-In872","CARLY GRIFFO","3","New York County",1,"Write-In872",0
"Write-In873","CARSON FIDJE","3","New York County",1,"Write-In873",0
"Write-In874","CHAD DRAY","3","New York County",1,"Write-In874",0
"Write-In875","CHARLES WAGNER","3","New York County",1,"Write-In875",0
"Write-In876","CHARLIE KIRK","3","New York County",1,"Write-In876",0
"Write-In877","CHRISTIAN CAILEDO GARCIA","3","New York County",1,"Write-In877",0
"Write-In878","CHRISTOPHER A. LEBRON","3","New York County",1,"Write-In878",0
"Write-In879","CHRISTOPHER MARTE","3","New York County",1,"Write-In879",0
"Write-In880","CHRISTOPHER MICHAEL GALLAGHER","3","New York County",1,"Write-In880",0
"Write-In881","CHRISTOPHER SHEN","3","New York County",1,"Write-In881",0
"Write-In882","CLEA CONNOR","3","New York County",1,"Write-In882",0
"Write-In883","CRISTINA FONTANELLI","3","New York County",74,"Write-In883",0
"Write-In884","CURTIS A. SLIWA","3","New York County",8,"Write-In884",0
"Write-In885","DAN FLICK","3","New York County",1,"Write-In885",0
"Write-In886","DANIEL DRUCKMAN","3","New York County",1,"Write-In886",0
"Write-In887","DANIEL J. HANGGI","3","New York County",1,"Write-In887",0
"Write-In888","DAVID BERGER","3","New York County",1,"Write-In888",0
"Write-In889","DAVID FARBER","3","New York County",1,"Write-In889",0
"Write-In890","DEVARAJ TRIPASURI","3","New York County",1,"Write-In890",0
"Write-In891","DONALD EKLUND","3","New York County",1,"Write-In891",0
"Write-In892","DONALD J. TRUMP","3","New York County",9,"Write-In892",0
"Write-In893","DONALD TRUMP JR.","3","New York County",1,"Write-In893",0
"Write-In894","DREW GRABEL","3","New York County",1,"Write-In894",0
"Write-In895","DYLAN S. STEVENSON","3","New York County",1,"Write-In895",0
"Write-In896","EDWARD SANTOS","3","New York County",1,"Write-In896",0
"Write-In897","ELISE KUHN","3","New York County",1,"Write-In897",0
"Write-In898","ELISE STEFANIK","3","New York County",1,"Write-In898",0
"Write-In899","ELON MUSK","3","New York County",1,"Write-In899",0
"Write-In900","EMMA SIMON","3","New York County",1,"Write-In900",0
